继电器开,xuhuilin@orvibo.com,5cffffe200b2,开,6dae91316ecc4ff8befe0a5236e6c26b,on,0,0,0,0,5,52,30,0,0,"""status"": 0"
继电器关,xuhuilin@orvibo.com,5cffffe200b2,关,6dae91316ecc4ff8befe0a5236e6c26b,off,1,0,0,0,6,53,31,0,0,"""status"": 0"
继电器翻转,xuhuilin@orvibo.com,5cffffe200b2,翻转,6dae91316ecc4ff8befe0a5236e6c26b,toggle,2,0,0,0,7,54,32,0,0,"""status"": 0"
RF灯开,xuhuilin@orvibo.com,6001940af5de,开,37f348555db245b98d5c69a8130fcec3,rf control,0,0,0,0,8,5,10,0,0,"""status"": 0"
RF灯关,xuhuilin@orvibo.com,6001940af5de,关,37f348555db245b98d5c69a8130fcec3,rf control,1,0,0,0,9,6,11,0,0,"""status"": 0"
RF灯翻转,xuhuilin@orvibo.com,6001940af5de,翻转,37f348555db245b98d5c69a8130fcec3,rf control,2,0,0,0,10,7,12,0,0,"""status"": 0"
RF窗帘开,xuhuilin@orvibo.com,6001940af5de,开,626b65ce5e5b40989aca2136579e914e,rf control,380000,0,0,0,11,8,13,0,0,"""status"": 0"
RF窗帘关,xuhuilin@orvibo.com,6001940af5de,关,626b65ce5e5b40989aca2136579e914e,rf control,380001,0,0,0,12,9,14,0,0,"""status"": 0"
RF窗帘停,xuhuilin@orvibo.com,6001940af5de,停,626b65ce5e5b40989aca2136579e914e,rf control,380002,0,0,0,13,10,15,0,0,"""status"": 0"
RF晾衣架关,xuhuilin@orvibo.com,6001940af5de,关,8e9eef1bbcae42f4b3903a6cb4f9768d,rf control,381000,0,0,0,14,11,16,0,0,"""status"": 0"
RF晾衣架照明,xuhuilin@orvibo.com,6001940af5de,照明,8e9eef1bbcae42f4b3903a6cb4f9768d,rf control,381001,0,0,0,15,12,17,0,0,"""status"": 0"
RF晾衣架风干,xuhuilin@orvibo.com,6001940af5de,风干,8e9eef1bbcae42f4b3903a6cb4f9768d,rf control,381002,0,0,0,16,13,18,0,0,"""status"": 0"
RF晾衣架烘干,xuhuilin@orvibo.com,6001940af5de,烘干,8e9eef1bbcae42f4b3903a6cb4f9768d,rf control,381003,0,0,0,4,14,19,0,0,"""status"": 0"
RF晾衣架消毒,xuhuilin@orvibo.com,6001940af5de,消毒,8e9eef1bbcae42f4b3903a6cb4f9768d,rf control,381004,0,0,0,5,15,20,0,0,"""status"": 0"
RF晾衣架上移,xuhuilin@orvibo.com,6001940af5de,上移,8e9eef1bbcae42f4b3903a6cb4f9768d,rf control,381005,0,0,0,6,16,21,0,0,"""status"": 0"
RF晾衣架停止,xuhuilin@orvibo.com,6001940af5de,停止,8e9eef1bbcae42f4b3903a6cb4f9768d,rf control,381006,0,0,0,7,17,22,0,0,"""status"": 0"
RF晾衣架下移,xuhuilin@orvibo.com,6001940af5de,下移,8e9eef1bbcae42f4b3903a6cb4f9768d,rf control,381007,0,0,0,8,18,23,0,0,"""status"": 0"
红外转发器空调制冷,xuhuilin@orvibo.com,5cffffe200b2,制冷,1021aea934fc44d69bf598e2c7d229f3,311000,0,0,0,0,9,19,24,0,0,"""status"": 0"
红外转发器机顶盒频道0,xuhuilin@orvibo.com,5cffffe200b2,频道0,bbae67d59d6c4074babc180747e8a5fe,310200,0,0,0,0,10,20,25,0,0,"""status"": 0"
红外转发器自定义第一个按钮,xuhuilin@orvibo.com,5cffffe200b2,第一个按钮,fbbfd14e95244f0f83cf3c9887275183,370000,0,0,0,0,11,21,26,0,0,"""status"": 0"
红外转发器电视频道0,xuhuilin@orvibo.com,5cffffe200b2,频道0,fe09a20039fa4cc6ad72fa66603d4d6f,310100,0,0,0,0,12,22,27,0,0,"""status"": 0"
